TimeOfDay;DayOfYear;BaseTemperature;BaseHumidity;ActualTemperature;ActualHumidity;PrecipChange;PrecipIntensity;PrecipTemperature;PrecipDuration;CloudCover;Fogginess;WindSpeed;WindDirection;Raining;Thundering;Snowing;GRPT;GWPT;GAPT;CRPT;CWPT;CAPT;GRTPT;GWTPT;CRTPT;CWTPT;TPBT;TPT;TPET;AvgAge;AvgAgeNonzero;MaxAge;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000828;0.000374;0.053608;0.0002219999;0.062328;0.02552601;0.04941799;0.006;1.016949;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008159999;0.000388;0.080446;0.0002919999;0.06236801;0.02552601;0.04962599;0.007;1.014493;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008099999;0.000382;0.080438;0.0002919999;0.08923601;0.03790801;0.06326399;0.007;1.014493;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000832;0.000376;0.08043599;0.0002919999;0.08923201;0.03790801;0.06325199;0.007;1.014493;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008260001;0.000378;0.080438;0.0002919999;0.08928401;0.03790801;0.063302;0.007;1.014493;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000822;0.000354;0.053742;0.0002399999;0.089294;0.03790801;0.06328399;0.007;1.014493;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008160002;0.000354;0.05374;0.0002399999;0.062512;0.025304;0.048678;0.007;1.014493;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008160002;0.000352;0.053736;0.0002399999;0.06250599;0.02530401;0.048554;0.007;1.014493;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008220001;0.000348;0.05374001;0.0002379999;0.06249399;0.02530601;0.048558;0.007;1.014493;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008280001;0.000348;0.05374001;0.0002379999;0.06248799;0.02530601;0.048544;0.007;1.014493;2;
